ID,COMPANY,CALS,WEIGHT
1106423,Conservas La Costena S.A.,75,120
1106424,Caporal Foods,,113
1106425,Dean Foods Company,241,141
1106426,Golden Packaging Company,440,50
1106427,GS1 Mexico,486,37
1106428,Kemps LLC ,193,83
1106429,"Redmond Trading Company, L.C.",0,1.399999976
1106430,"MacFarms, LLC",719,32
1106431,Kemps LLC ,193,83
1106432,Kemps LLC ,241,83
1106433,"Jennie-O Turkey Store, Inc.",143,112
1106434,Smithfield Packaged Meats Corp.,500,14
1106435,Hormel Foods Corporation ,200,15
1106436,Garden of Light Inc.,400,50
1106437,Tasty Baking Company,420,50
1106438,"Post Consumer Brands, LLC",368,38
1106439,Wakefern Food Corporation,109,64
1106440,"Kikkoman Sales USA, Inc.",88,17
1106441,"Mizkan America, Inc.",100,5
1106442,"Mizkan America, Inc.",100,5
1106443,"Innovasian Cuisine Enterprises, LLC",107,215
1106444,House-Autry Mills Inc.,333,15
1106445,Turkey Hill Dairy Inc.,245,94
1106446,Turkey Hill Dairy Inc.,271,70
1106447,Turkey Hill Dairy Inc.,223,94
1106448,Challenge Dairy Products Inc.,714,14
1106449,"Topco Associates, Inc.",714,14
1106450,Litehouse Inc.,273,33
1106451,Litehouse Inc.,281,57
1106452,"Topco Associates, Inc.",286,21
1106453,"Topco Associates, Inc.",474,19
1106454,"Borden, Inc.",353,17
1106455,"Safeway, Inc.",357,70
1106456,CRY BABY,333,6
1106457,DUBBLE BUBBLE,333,6
1106458,Ferrara Candy Company,333,21
1106459,New York Frozen Foods Inc.,390,41
1106460,New York Frozen Foods Inc.,390,41
1106461,Flanders Provision Company LLC,254,114
1106462,Flanders Provision Company LLC,298,114
1106463,El Encanto Inc,17,30
1106464,El Encanto Inc,33,60
1106465,"Masterfoods Specialties, Inc.",160,50
1106466,"The Hain Celestial Group, Inc.",123,57
1106467,Reese Hydro - Farms,300,50
1106468,Reese Hydro - Farms,300,50
1106469,Reese Hydro - Farms,320,50
1106470,"Wheat-Montana Bakery, Inc.",271,48
1106471,"Wheat-Montana Bakery, Inc.",219,73.13999939
1106472,"Wheat-Montana Bakery, Inc.",246,73.13999939
1106473,"Effie's Homemade, LLC",471,34
1106474,T. Marzetti Company,500,7
1106475,"La Tourangelle, Inc",867,15
1106476,"UTZ Quality Foods, LLC",48,31
1106477,"Wise Foods, Inc.",536,28
1106478,"UTZ Quality Foods, LLC",357,28
1106479,"Wise Foods, Inc.",536,28
1106480,"UTZ Quality Foods, LLC",536,28
1106481,"The Hain Celestial Group, Inc.",92,130
1106482,Lotus Foods,356,45
1106483,"Jovial Foods, Inc.",368,57
1106484,"Jovial Foods, Inc.",386,57
1106485,"Euro-USA Trading Co., Inc.",368,57
1106486,"Euro-USA Trading Co., Inc.",368,57
1106487,"Goya Foods, Inc. ",90,155
1106488,"American Halal Company, Inc. ",429,28
1106489,Victoria Fine Foods LLC,62,113
1106490,Victoria Fine Foods LLC,62,113
1106491,Victoria Fine Foods LLC,71,113
1106492,Victoria Fine Foods LLC,62,113
1106493,Pastificio Lucio Garofalo Spa,375,56
1106494,"Alanric Food Distributors, Inc.",0,5
1106495,"Euro-USA Trading Co., Inc.",368,57
1106496,Dare Foods Inc,412,17
1106497,"Crown Prince, Inc.",141,135
1106498,"Bumble Bee Foods, LLC",107,56
1106499,PANOS Brands LLC ,400,30
1106500,Blue Diamond Growers,433,30
1106501,"Topco Associates, Inc.",0,1.700000048
1106502,Del Monte Foods Inc.,57,122
1106503,"Topco Associates, Inc.",104,125
1106504,California and Hawaiian Sugar Company,375,4
1106505,California and Hawaiian Sugar Company,333,3
1106506,Lotus Foods,343,35
1106507,Lotus Foods,343,35
1106508,"Galaxy Nutritional Foods, Inc.",235,17
1106509,"Galaxy Nutritional Foods, Inc.",214,28
1106510,"Johanna Foods, Inc.",106,170
1106511,"Johanna Foods, Inc.",94,170
1106512,"Danone US, LLC",53,150
1106513,Odlum Mills Limited,372,43
1106514,"Danone US, LLC",107,150
1106515,La Preferida Inc,32,31
1106516,El Ranchero Food Products,487,39
1106517,Kid Tested Tunes,519,27
1106518,Stella D'Oro Biscuit Co Inc,500,10
1106519,Cream of the West Inc.,333,48
1106520,Trusouth Oil LLC,500,30
1106522,Mount Olive Pickle Company Inc.,0,28
1106523,"Musco Olive Products, Inc.",100,15
1106524,"Musco Olive Products, Inc.",167,15
1106525,Mount Olive Pickle Company Inc.,18,28
1106526,Mount Olive Pickle Company Inc.,18,28
1106527,Mount Olive Pickle Company Inc.,18,28
1106528,Mahco Inc,290,100
1106529,Mahco Inc,264,106
1106530,Mahco Inc,266,109
1106531,"Reser's Fine Foods, Inc.",126,135
1106532,"Reser's Fine Foods, Inc.",145,110
1106533,"Reser's Fine Foods, Inc.",200,140
1106534,"Reser's Fine Foods, Inc.",164,140
1106535,"Navitas, LLC",600,15
